hf_id,df1_name,SCD clinic
HF0002,Buikwe St. Charles Lwanga HOSPITAL,0
HF0007,Kawolo HOSPITAL,1
HF0008,Lugazi Scoul HOSPITAL,0
HF0019,Nkokonjeru  HOSPITAL,0
HF0022,St. Francis Nyenga HOSPITAL,0
HF0039,Butenga HC IV,1
HF0052,Gombe HOSPITAL,0
HF0083,Maddu HC IV,0
HF0092,Bukulula HC IV,1
HF0093,Villa Maria HOSPITAL,1
HF0103,St. Joseph of the Good Shephard Kyamulibwa Ngo HC IV,0
HF0118,Kololo HOSPITAL,1
HF0202,International Hospital Kampala (IHK),0
HF0203,Kibuli HOSPITAL,1
HF0204,St. Francis Nsambya HOSPITAL,1
HF0216,Kiruddu,0
HF0220,Mulago National Hospital- Old NATIONAL REFERAL HOSPITAL,0
HF0252,Kadic HOSPITAL,1
HF0253,Murchison Bay  HOSPITAL,0
HF0262,Benedict Medical centre  HC IV,0
HF0263,Butabika NATIONAL REFERAL HOSPITAL,0
HF0264,Naguru  Hospital  - China Uganda Friendship,0
HF0281,Lubaga HOSPITAL,1
HF0282,Mengo HOSPITAL,1
HF0283,Namungoona Orthodox Hospital HC III,0
HF0290,Bbaale HC IV,0
HF0298,Kangulumira HC IV,0
HF0304,Kayunga Hospital,1
HF0316,Bukomero HC IV,1
HF0327,Kiboga HOSPITAL,1
HF0354,Ntwetwe HC IV,0
HF0362,Bombo General Military HOSPITAL,0
HF0376,Kalagala HC IV,1
HF0401,Luwero HC IV,0
HF0402,Bishop Asili Ceaser HC IV,0
HF0411,Nyimbwa HC IV,0
HF0429,Kiwangala HC IV,1
HF0438,Kyazanga HC IV,0
HF0446,Lwengo HC IV,1
HF0465,Lyantonde HOSPITAL,1
HF0494,Masaka REGIONAL REF HOSPITAL,0
HF0499,Kyannamukaaka HC IV,0
HF0505,Kiyumba HC IV,0
HF0506,St. Joseph Kitovu HOSPITAL,1
HF0537,Mwera HC IV,0
HF0540,Kyantungo HC IV,0
HF0550,Mityana HOSPITAL,0
HF0560,Ssekanyonyi HC IV,0
HF0583,Mpigi   HC IV,0
HF0588,Nkozi HOSPITAL,1
HF0608,Kassanda HC IV,0
HF0615,Kiganda HC IV,1
HF0650,Mubende RR HOSPITAL,1
HF0678,Mukono  T.C. HC IV,0
HF0679,Mukono CoU HC IV,0
HF0680,St. Francis HOSPITAL Naggalama,0
HF0698,Kojja HC IV,0
HF0715,Kiwoko HOSPITAL,1
HF0718,Nakaseke HOSPITAL,1
HF0720,Ngoma HC IV,1
HF0724,Semuto HC IV,0
HF0732,St. Franciscan HC IV,0
HF0741,Nakasongola Military HOSPITAL,0
HF0752,Nakasongola HC IV,0
HF0773,Kakuuto HC IV,0
HF0777,Kalisizo HOSPITAL,1
HF0854,Bamu  HOSPITAL,0
HF0859,Ntuusi HC IV,0
HF0860,Ssembabule HC IV,1
HF0873,Buwambo HC IV,0
HF0883,Luwunga Barracks HC IV,0
HF0887,Kisubi HOSPITAL,1
HF0889,Uganda Martyrs HOSPITAL,0
HF0919,Namayumba HC IV,0
HF0921,Saidina Abubakar Islamic HOSPITAL,0
HF0926,Kasangati HC IV,0
HF0940,Mildmay Uganda HOSPITAL,0
HF0948,Ndejje HC IV,0
HF0957,Wakiso HC IV,0
HF0966,Amuria HC IV,0
HF0975,Kapelebyong HC IV,1
HF0998,Budaka HC IV,1
HF1015,Bududa HOSPITAL,1
HF1032,Bugiri HOSPITAL,1
HF1063,Nankoma HC IV,0
HF1065,Bukedea HC IV,0
HF1092,Muyembe HC IV,0
HF1113,Dabani HOSPITAL,1
HF1125,Busolwe HOSPITAL,1
HF1130,Kabasa Memorial HOSPITAL,0
HF1147,Kidera HC IV,1
